0.318879,14
0.327868,14
0.458416,13
0.350981,13
0.353549,10
0.401916,14
0.386079,13
0.443434,12
0.938232,13
0.391216,13
0.588107,13
0.529896,14
0.312459,12
0.321019,13
0.489662,12
0.312459,12
0.341565,12
0.4032,12
0.509779,12
0.34242,12
0.404912,10
0.655307,14
0.672428,13
0.53546,13
0.538029,13
0.319735,14
0.532464,13
0.312031,14
0.46826,13
0.314171,13
0.395496,12
0.324871,14
0.384795,13
0.353549,13
0.468689,11
0.439583,13
0.345417,13
0.68741,13
0.493514,14
0.664296,13
0.363822,13
0.309035,12
0.431022,13
0.515771,12
0.32102,13
0.374094,11
0.414757,12
0.487521,14
0.414757,12
0.346701,13
0.430594,12
0.401061,14
0.353549,11
0.317595,12
0.562854,14
0.306895,14
0.309035,11
0.321876,13
0.322303,13
0.376663,13
0.502931,12
0.501218,10
0.301758,12
0.727216,13
0.854339,12
0.442578,14
0.502074,12
0.471257,14
0.499506,13
0.343277,13
0.583827,12
0.377947,14
0.445575,11
0.537601,12
0.314171,14
0.736205,14
0.613361,11
0.642466,13
0.504214,12
0.383511,10
0.540596,11
0.605656,12
0.473825,12
0.341136,14
0.32316,12
0.413473,14
0.307751,11
0.313315,13
0.309463,13
0.470401,13
0.435303,12
0.519623,14
0.460127,13
0.457988,14
0.333004,13
0.391215,14
0.460127,12
0.494798,13
0.316311,13
0.304326,13
